,funcao,qtd_terceirizados,data
43,Jauzeiro,9,2015-09-01
44,Lavador,16,2015-09-01
45,Lustrador,2,2015-09-01
46,Manutenção e Suporte Técnico,7,2015-09-01
47,Marceneiro,8,2015-09-01
48,Mecânico Leve,2,2015-09-01
49,Mecânico Pesado,2,2015-09-01
50,Mecânico de Refrigeração,6,2015-09-01
51,Mensageiro,45,2015-09-01
52,Mensageiro de Gabinete,67,2015-09-01
53,Motorista,69,2015-09-01
54,Médico Auditor,5,2015-09-01
55,Operador da Central de Detecção,2,2015-09-01
56,Operador da Central de Supervisão Predial,2,2015-09-01
57,Operador da Central de Água Gelada,4,2015-09-01
58,Operador de Micro,1,2015-09-01
59,Operador de Áudio e Vídeo,2,2015-09-01
60,Pedagoga,1,2015-09-01
61,Pintor,4,2015-09-01
62,Preparador de Documentos,29,2015-09-01
63,Recepcionista,82,2015-09-01
64,Servente,198,2015-09-01
65,Supervisor,27,2015-09-01
66,Supervisor Geral de Serventes,1,2015-09-01
67,Supervisor de Jardinagem,1,2015-09-01
68,Supervisor de Marcenaria,1,2015-09-01
69,Supervisor de Mensageiria,2,2015-09-01
70,Supervisor de Vigilância,8,2015-09-01
71,Supervisão Geral de Vigilância,1,2015-09-01
72,Telefonista,9,2015-09-01
73,Técnico de Elevador Residente,1,2015-09-01
74,Técnico em Detecção e Alarme de Incêndio,1,2015-09-01
75,Técnico em Edificações,1,2015-09-01
76,Técnico em Eletrotécnica,1,2015-09-01
77,Técnico em Eletrônica I,5,2015-09-01
78,Técnico em Eletrônica II,1,2015-09-01
79,Técnico em Manutenção,1,2015-09-01
80,Técnico em Máquinas,1,2015-09-01
81,Técnico em Rede Estruturada,3,2015-09-01
82,Técnico em Refrigeração,1,2015-09-01
83,Técnico em Secretariado,89,2015-09-01
84,Técnico em Secretariado I,20,2015-09-01
85,Técnico em Secretariado II,29,2015-09-01
86,Vigilante/Vigilância,251,2015-09-01
87,Webdesigner,2,2015-09-01
88,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2015-09-01
0,Ajudante de Bombeiro Hidráulico,4,2015-10-01
1,Ajudante de Eletricista,13,2015-10-01
2,Almoxarife,1,2015-10-01
3,Alvenaria,5,2015-10-01
4,Ascensorista,39,2015-10-01
5,Assistente de Fotografia,2,2015-10-01
6,Auxiliar Administrativo,2,2015-10-01
7,Auxiliar Técnico,5,2015-10-01
8,Auxiliar de Almoxarifado,24,2015-10-01
9,Auxiliar de Alvenaria,8,2015-10-01
10,Auxiliar de Biblioteca,16,2015-10-01
11,Auxiliar de Educação Infantil,22,2015-10-01
12,Auxiliar de Marcenaria,3,2015-10-01
13,Auxiliar de Mecânico de Refrigeração,3,2015-10-01
14,Auxiliar de Recepção,10,2015-10-01
15,Auxiliar de Supervisão de Marcenaria,1,2015-10-01
16,Bombeiro Civil Líder,2,2015-10-01
17,Bombeiro Civil Noturno 12X36,10,2015-10-01
18,Bombeiro Hidráulico,8,2015-10-01
19,Bomberiro Civil Diurno 12X36,26,2015-10-01
20,Borracheiro,1,2015-10-01
21,Copeira,54,2015-10-01
22,Copeiro,2,2015-10-01
23,Cozinheira,4,2015-10-01
24,Desenhista em CAD,1,2015-10-01
25,Digitalizador,138,2015-10-01
26,Eletricista,17,2015-10-01
27,Eletricista Plantonista Diurno,2,2015-10-01
28,Eletricista Plantonista Noturno,2,2015-10-01
29,Eletricista de Autos,2,2015-10-01
30,Encarregado de Elétrica,2,2015-10-01
31,Encarregado de Hidráulica,1,2015-10-01
32,Encarregado de Mecânica de Refrigeração,1,2015-10-01
33,Enfermeira Auditora,2,2015-10-01
34,Engenheiro Eletricista,2,2015-10-01
35,Engenheiro Mecânico,2,2015-10-01
36,Engenheiro Senior,1,2015-10-01
37,Engenheiro de Sistemas,1,2015-10-01
38,Garçom,30,2015-10-01
39,Garçonete,6,2015-10-01
40,Gesseiro,1,2015-10-01
41,Instrumentador Técnico,1,2015-10-01
42,Jardineiro,10,2015-10-01
43,Jauzeiro,8,2015-10-01
44,Lavador,16,2015-10-01
45,Lustrador,2,2015-10-01
46,Manutenção e Suporte Técnico,7,2015-10-01
47,Marceneiro,8,2015-10-01
48,Mecânico Leve,2,2015-10-01
49,Mecânico Pesado,2,2015-10-01
50,Mecânico de Refrigeração,6,2015-10-01
51,Mensageiro,45,2015-10-01
52,Mensageiro de Gabinete,66,2015-10-01
53,Motorista,69,2015-10-01
54,Médico Auditor,5,2015-10-01
55,Operador da Central de Detecção,2,2015-10-01
56,Operador da Central de Supervisão Predial,2,2015-10-01
57,Operador da Central de Água Gelada,4,2015-10-01
58,Operador de Micro,1,2015-10-01
59,Operador de Áudio e Vídeo,2,2015-10-01
60,Pedagoga,1,2015-10-01
61,Pintor,4,2015-10-01
62,Preparador de Documentos,29,2015-10-01
63,Recepcionista,81,2015-10-01
64,Servente,219,2015-10-01
65,Supervisor,27,2015-10-01
66,Supervisor Geral de Serventes,1,2015-10-01
67,Supervisor de Jardinagem,1,2015-10-01
68,Supervisor de Marcenaria,1,2015-10-01
69,Supervisor de Mensageiria,2,2015-10-01
70,Supervisor de Vigilância,8,2015-10-01
71,Supervisão Geral de Vigilância,1,2015-10-01
72,Telefonista,8,2015-10-01
73,Técnico de Elevador Residente,1,2015-10-01
74,Técnico em Detecção e Alarme de Incêndio,1,2015-10-01
75,Técnico em Edificações,1,2015-10-01
76,Técnico em Eletrotécnica,1,2015-10-01
77,Técnico em Eletrônica I,5,2015-10-01
78,Técnico em Eletrônica II,1,2015-10-01
79,Técnico em Manutenção,1,2015-10-01
80,Técnico em Máquinas,1,2015-10-01
81,Técnico em Rede Estruturada,6,2015-10-01
82,Técnico em Refrigeração,1,2015-10-01
83,Técnico em Secretariado,94,2015-10-01
84,Técnico em Secretariado I,20,2015-10-01
85,Técnico em Secretariado II,29,2015-10-01
86,Vigilante/Vigilância,251,2015-10-01
87,Webdesigner,2,2015-10-01
88,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2015-10-01
0,Agente de Segurança Pessoal Privada,142,2015-11-01
1,Agente de Segurança Pessoal Privada Supervisor de Serviços,8,2015-11-01
2,Ajudante de Bombeiro Hidráulico,4,2015-11-01
3,Ajudante de Eletricista,13,2015-11-01
4,Almoxarife,1,2015-11-01
5,Alvenaria,5,2015-11-01
6,Ascensorista,38,2015-11-01
7,Assistente de Fotografia,2,2015-11-01
8,Auxiliar Administrativo,4,2015-11-01
9,Auxiliar Técnico,5,2015-11-01
10,Auxiliar de Almoxarifado,24,2015-11-01
11,Auxiliar de Alvenaria,7,2015-11-01
12,Auxiliar de Biblioteca,16,2015-11-01
13,Auxiliar de Educação Infantil,24,2015-11-01
14,Auxiliar de Higienização e Acondicionamento de Acervos,8,2015-11-01
15,Auxiliar de Marcenaria,4,2015-11-01
16,Auxiliar de Mecânico de Refrigeração,4,2015-11-01
17,Auxiliar de Supervisão de Marcenaria,1,2015-11-01
18,Bombeiro Civil Líder,1,2015-11-01
19,Bombeiro Civil Noturno 12X36,12,2015-11-01
20,Bombeiro Hidráulico,8,2015-11-01
21,Bomberiro Civil Diurno 12X36,29,2015-11-01
22,Borracheiro,1,2015-11-01
23,Copeira,54,2015-11-01
24,Copeiro,2,2015-11-01
25,Cozinheira,4,2015-11-01
26,Desenhista em CAD,1,2015-11-01
27,Digitalizador,138,2015-11-01
28,Eletricista,17,2015-11-01
29,Eletricista Plantonista Diurno,2,2015-11-01
30,Eletricista Plantonista Noturno,2,2015-11-01
31,Eletricista de Autos,2,2015-11-01
32,Encarregado de Elétrica,2,2015-11-01
33,Encarregado de Hidráulica,1,2015-11-01
34,Encarregado de Mecânica de Refrigeração,1,2015-11-01
35,Enfermeira Auditora,2,2015-11-01
36,Engenheiro Eletricista,2,2015-11-01
37,Engenheiro Mecânico,2,2015-11-01
38,Engenheiro Senior,1,2015-11-01
39,Engenheiro de Sistemas,1,2015-11-01
40,Garçom,30,2015-11-01
41,Garçonete,6,2015-11-01
42,Gesseiro,1,2015-11-01
43,Instrumentador Técnico,1,2015-11-01
44,Jardineiro,10,2015-11-01
45,Jauzeiro,8,2015-11-01
46,Lavador,16,2015-11-01
47,Lustrador,2,2015-11-01
48,Manutenção e Suporte Técnico,7,2015-11-01
49,Marceneiro,8,2015-11-01
50,Mecânico Leve,2,2015-11-01
51,Mecânico Pesado,2,2015-11-01
52,Mecânico de Refrigeração,6,2015-11-01
53,Mensageiro,42,2015-11-01
54,Mensageiro de Gabinete,62,2015-11-01
55,Motorista,66,2015-11-01
56,Médico Auditor,5,2015-11-01
57,Operador da Central de Detecção,2,2015-11-01
58,Operador da Central de Supervisão Predial,2,2015-11-01
59,Operador da Central de Água Gelada,4,2015-11-01
60,Operador de Micro,1,2015-11-01
61,Operador de Áudio e Vídeo,2,2015-11-01
62,Pedagoga,1,2015-11-01
63,Pintor,4,2015-11-01
64,Preparador de Documentos,29,2015-11-01
65,Recepcionista,81,2015-11-01
66,Servente,218,2015-11-01
67,Supervisor,30,2015-11-01
68,Supervisor Geral de Serventes,1,2015-11-01
69,Supervisor de Jardinagem,1,2015-11-01
70,Supervisor de Marcenaria,1,2015-11-01
71,Supervisor de Mensageiria,2,2015-11-01
72,Supervisor de Vigilância,6,2015-11-01
73,Supervisão Geral de Vigilância,1,2015-11-01
74,Telefonista,8,2015-11-01
75,Técnico de Elevador Residente,1,2015-11-01
76,Técnico em Detecção e Alarme de Incêndio,1,2015-11-01
77,Técnico em Edificações,1,2015-11-01
78,Técnico em Eletrotécnica,1,2015-11-01
79,Técnico em Eletrônica I,5,2015-11-01
80,Técnico em Eletrônica II,1,2015-11-01
81,Técnico em Manutenção,1,2015-11-01
82,Técnico em Máquinas,1,2015-11-01
83,Técnico em Rede Estruturada,6,2015-11-01
84,Técnico em Refrigeração,1,2015-11-01
85,Técnico em Secretariado,94,2015-11-01
86,Técnico em Secretariado I,20,2015-11-01
87,Técnico em Secretariado II,29,2015-11-01
88,Vigilante/Vigilância,175,2015-11-01
89,Webdesigner,2,2015-11-01
90,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2015-11-01
0,Agente de Segurança Pessoal Privada,142,2015-12-01
1,Agente de Segurança Pessoal Privada Supervisor de Serviços,8,2015-12-01
2,Ajudante de Bombeiro Hidráulico,4,2015-12-01
3,Ajudante de Eletricista,13,2015-12-01
4,Almoxarife,1,2015-12-01
5,Alvenaria,5,2015-12-01
6,Ascensorista,37,2015-12-01
7,Assistente de Fotografia,2,2015-12-01
8,Auxiliar Administrativo,4,2015-12-01
9,Auxiliar Técnico,5,2015-12-01
10,Auxiliar de Almoxarifado,24,2015-12-01
11,Auxiliar de Alvenaria,7,2015-12-01
12,Auxiliar de Biblioteca,16,2015-12-01
13,Auxiliar de Educação Infantil,24,2015-12-01
14,Auxiliar de Higienização e Acondicionamento de Acervos,8,2015-12-01
15,Auxiliar de Marcenaria,4,2015-12-01
16,Auxiliar de Mecânico de Refrigeração,4,2015-12-01
17,Auxiliar de Supervisão de Marcenaria,1,2015-12-01
18,Bombeiro Civil Líder,1,2015-12-01
19,Bombeiro Civil Noturno 12X36,12,2015-12-01
20,Bombeiro Hidráulico,8,2015-12-01
21,Bomberiro Civil Diurno 12X36,29,2015-12-01
22,Borracheiro,1,2015-12-01
23,Copeira,54,2015-12-01
24,Copeiro,2,2015-12-01
25,Cozinheira,4,2015-12-01
26,Desenhista em CAD,1,2015-12-01
27,Digitalizador,140,2015-12-01
28,Eletricista,17,2015-12-01
29,Eletricista Plantonista Diurno,2,2015-12-01
30,Eletricista Plantonista Noturno,2,2015-12-01
31,Eletricista de Autos,2,2015-12-01
32,Encarregado de Elétrica,2,2015-12-01
33,Encarregado de Hidráulica,1,2015-12-01
34,Encarregado de Mecânica de Refrigeração,1,2015-12-01
35,Enfermeira Auditora,2,2015-12-01
36,Engenheiro Eletricista,2,2015-12-01
37,Engenheiro Mecânico,2,2015-12-01
38,Engenheiro Senior,1,2015-12-01
39,Engenheiro de Sistemas,1,2015-12-01
40,Garçom,30,2015-12-01
41,Garçonete,6,2015-12-01
42,Gesseiro,1,2015-12-01
43,Instrumentador Técnico,1,2015-12-01
44,Jardineiro,10,2015-12-01
45,Jauzeiro,9,2015-12-01
46,Lavador,16,2015-12-01
47,Lustrador,2,2015-12-01
48,Manutenção e Suporte Técnico,7,2015-12-01
49,Marceneiro,8,2015-12-01
50,Mecânico Leve,2,2015-12-01
51,Mecânico Pesado,2,2015-12-01
52,Mecânico de Refrigeração,6,2015-12-01
53,Mensageiro,44,2015-12-01
54,Mensageiro de Gabinete,69,2015-12-01
55,Motorista,66,2015-12-01
56,Médico Auditor,5,2015-12-01
57,Operador da Central de Detecção,2,2015-12-01
58,Operador da Central de Supervisão Predial,2,2015-12-01
59,Operador da Central de Água Gelada,4,2015-12-01
60,Operador de Micro,1,2015-12-01
61,Operador de Áudio e Vídeo,2,2015-12-01
62,Pedagoga,1,2015-12-01
63,Pintor,4,2015-12-01
64,Preparador de Documentos,30,2015-12-01
65,Recepcionista,80,2015-12-01
66,Servente,205,2015-12-01
67,Supervisor,29,2015-12-01
68,Supervisor Geral de Serventes,1,2015-12-01
69,Supervisor de Jardinagem,1,2015-12-01
70,Supervisor de Marcenaria,1,2015-12-01
71,Supervisor de Mensageiria,2,2015-12-01
72,Supervisor de Vigilância,6,2015-12-01
73,Supervisão Geral de Vigilância,1,2015-12-01
74,Telefonista,8,2015-12-01
75,Técnico de Elevador Residente,1,2015-12-01
76,Técnico em Detecção e Alarme de Incêndio,1,2015-12-01
77,Técnico em Edificações,1,2015-12-01
78,Técnico em Eletrotécnica,1,2015-12-01
79,Técnico em Eletrônica I,5,2015-12-01
80,Técnico em Eletrônica II,1,2015-12-01
81,Técnico em Manutenção,1,2015-12-01
82,Técnico em Máquinas,1,2015-12-01
83,Técnico em Rede Estruturada,6,2015-12-01
84,Técnico em Refrigeração,1,2015-12-01
85,Técnico em Secretariado,101,2015-12-01
86,Técnico em Secretariado I,20,2015-12-01
87,Técnico em Secretariado II,29,2015-12-01
88,Vigilante/Vigilância,175,2015-12-01
89,Webdesigner,2,2015-12-01
90,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2015-12-01
0,Agente de Segurança Pessoal Privada,142,2016-01-01
1,Agente de Segurança Pessoal Privada Supervisor de Serviços,8,2016-01-01
2,Ajudante de Bombeiro Hidráulico,4,2016-01-01
3,Ajudante de Eletricista,13,2016-01-01
4,Almoxarife,1,2016-01-01
5,Alvenaria,5,2016-01-01
6,Ascensorista,37,2016-01-01
7,Assistente de Fotografia,2,2016-01-01
8,Auxiliar Administrativo,4,2016-01-01
9,Auxiliar Técnico,5,2016-01-01
10,Auxiliar de Almoxarifado,24,2016-01-01
11,Auxiliar de Alvenaria,7,2016-01-01
12,Auxiliar de Biblioteca,16,2016-01-01
13,Auxiliar de Educação Infantil,24,2016-01-01
14,Auxiliar de Higienização e Acondicionamento de Acervos,8,2016-01-01
15,Auxiliar de Marcenaria,4,2016-01-01
16,Auxiliar de Mecânico de Refrigeração,4,2016-01-01
17,Auxiliar de Supervisão de Marcenaria,1,2016-01-01
18,Bombeiro Civil Líder,1,2016-01-01
19,Bombeiro Civil Noturno 12X36,12,2016-01-01
20,Bombeiro Hidráulico,8,2016-01-01
21,Bomberiro Civil Diurno 12X36,29,2016-01-01
22,Borracheiro,1,2016-01-01
23,Copeira,54,2016-01-01
24,Copeiro,2,2016-01-01
25,Cozinheira,4,2016-01-01
26,Desenhista em CAD,1,2016-01-01
27,Digitalizador,142,2016-01-01
28,Eletricista,17,2016-01-01
29,Eletricista Plantonista Diurno,2,2016-01-01
30,Eletricista Plantonista Noturno,2,2016-01-01
31,Eletricista de Autos,2,2016-01-01
32,Encarregado de Elétrica,2,2016-01-01
33,Encarregado de Hidráulica,1,2016-01-01
34,Encarregado de Mecânica de Refrigeração,1,2016-01-01
35,Enfermeira Auditora,2,2016-01-01
36,Engenheiro Eletricista,2,2016-01-01
37,Engenheiro Mecânico,2,2016-01-01
38,Engenheiro Senior,1,2016-01-01
39,Engenheiro de Sistemas,1,2016-01-01
40,Garçom,30,2016-01-01
41,Garçonete,6,2016-01-01
42,Gesseiro,1,2016-01-01
43,Instrumentador Técnico,1,2016-01-01
44,Jardineiro,10,2016-01-01
45,Jauzeiro,9,2016-01-01
46,Lavador,16,2016-01-01
47,Lustrador,2,2016-01-01
48,Manutenção e Suporte Técnico,7,2016-01-01
49,Marceneiro,8,2016-01-01
50,Mecânico Leve,2,2016-01-01
51,Mecânico Pesado,2,2016-01-01
52,Mecânico de Refrigeração,6,2016-01-01
53,Mensageiro,44,2016-01-01
54,Mensageiro de Gabinete,69,2016-01-01
55,Motorista,66,2016-01-01
56,Médico Auditor,5,2016-01-01
57,Operador da Central de Detecção,2,2016-01-01
58,Operador da Central de Supervisão Predial,2,2016-01-01
59,Operador da Central de Água Gelada,4,2016-01-01
60,Operador de Micro,1,2016-01-01
61,Operador de Áudio e Vídeo,2,2016-01-01
62,Pedagoga,1,2016-01-01
63,Pintor,4,2016-01-01
64,Preparador de Documentos,30,2016-01-01
65,Recepcionista,80,2016-01-01
66,Servente,205,2016-01-01
67,Supervisor,29,2016-01-01
68,Supervisor Geral de Serventes,1,2016-01-01
69,Supervisor de Jardinagem,1,2016-01-01
70,Supervisor de Marcenaria,1,2016-01-01
71,Supervisor de Mensageiria,2,2016-01-01
72,Supervisor de Vigilância,6,2016-01-01
73,Supervisão Geral de Vigilância,1,2016-01-01
74,Telefonista,8,2016-01-01
75,Técnico de Elevador Residente,1,2016-01-01
76,Técnico em Detecção e Alarme de Incêndio,1,2016-01-01
77,Técnico em Edificações,1,2016-01-01
78,Técnico em Eletrotécnica,1,2016-01-01
79,Técnico em Eletrônica I,5,2016-01-01
80,Técnico em Eletrônica II,1,2016-01-01
81,Técnico em Manutenção,1,2016-01-01
82,Técnico em Máquinas,1,2016-01-01
83,Técnico em Rede Estruturada,6,2016-01-01
84,Técnico em Refrigeração,1,2016-01-01
85,Técnico em Secretariado,101,2016-01-01
86,Técnico em Secretariado I,20,2016-01-01
87,Técnico em Secretariado II,29,2016-01-01
88,Vigilante/Vigilância,180,2016-01-01
89,Webdesigner,2,2016-01-01
90,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2016-01-01
0,Agente de Segurança Pessoal Privada,142,2016-02-01
1,Agente de Segurança Pessoal Privada Supervisor de Serviços,8,2016-02-01
2,Ajudante de Bombeiro Hidráulico,4,2016-02-01
3,Ajudante de Eletricista,13,2016-02-01
4,Almoxarife,1,2016-02-01
5,Alvenaria,5,2016-02-01
6,Ascensorista,37,2016-02-01
7,Assistente de Fotografia,2,2016-02-01
8,Auxiliar Administrativo,4,2016-02-01
9,Auxiliar Técnico,5,2016-02-01
10,Auxiliar de Almoxarifado,24,2016-02-01
11,Auxiliar de Alvenaria,7,2016-02-01
12,Auxiliar de Biblioteca,16,2016-02-01
13,Auxiliar de Educação Infantil,24,2016-02-01
14,Auxiliar de Higienização e Acondicionamento de Acervos,8,2016-02-01
15,Auxiliar de Marcenaria,4,2016-02-01
16,Auxiliar de Mecânico de Refrigeração,4,2016-02-01
17,Auxiliar de Supervisão de Marcenaria,1,2016-02-01
18,Bombeiro Civil Líder,1,2016-02-01
19,Bombeiro Civil Noturno 12X36,12,2016-02-01
20,Bombeiro Hidráulico,8,2016-02-01
21,Bomberiro Civil Diurno 12X36,29,2016-02-01
22,Borracheiro,1,2016-02-01
23,Copeira,54,2016-02-01
24,Copeiro,2,2016-02-01
25,Cozinheira,4,2016-02-01
26,Desenhista em CAD,1,2016-02-01
27,Digitalizador,142,2016-02-01
28,Eletricista,17,2016-02-01
29,Eletricista Plantonista Diurno,2,2016-02-01
30,Eletricista Plantonista Noturno,2,2016-02-01
31,Eletricista de Autos,2,2016-02-01
32,Encarregado de Elétrica,2,2016-02-01
33,Encarregado de Hidráulica,1,2016-02-01
34,Encarregado de Mecânica de Refrigeração,1,2016-02-01
35,Enfermeira Auditora,2,2016-02-01
36,Engenheiro Eletricista,2,2016-02-01
37,Engenheiro Mecânico,2,2016-02-01
38,Engenheiro Senior,1,2016-02-01
39,Engenheiro de Sistemas,1,2016-02-01
40,Garçom,30,2016-02-01
41,Garçonete,6,2016-02-01
42,Gesseiro,1,2016-02-01
43,Instrumentador Técnico,1,2016-02-01
44,Jardineiro,10,2016-02-01
45,Jauzeiro,10,2016-02-01
46,Lavador,16,2016-02-01
47,Lustrador,2,2016-02-01
48,Manutenção e Suporte Técnico,7,2016-02-01
49,Marceneiro,8,2016-02-01
50,Mecânico Leve,2,2016-02-01
51,Mecânico Pesado,2,2016-02-01
52,Mecânico de Refrigeração,6,2016-02-01
53,Mensageiro,44,2016-02-01
54,Mensageiro de Gabinete,69,2016-02-01
55,Motorista,66,2016-02-01
56,Médico Auditor,5,2016-02-01
57,Operador da Central de Detecção,2,2016-02-01
58,Operador da Central de Supervisão Predial,2,2016-02-01
59,Operador da Central de Água Gelada,4,2016-02-01
60,Operador de Micro,1,2016-02-01
61,Operador de Áudio e Vídeo,2,2016-02-01
62,Pedagoga,1,2016-02-01
63,Pintor,4,2016-02-01
64,Preparador de Documentos,30,2016-02-01
65,Recepcionista,80,2016-02-01
66,Servente,196,2016-02-01
67,Supervisor,29,2016-02-01
68,Supervisor Geral de Serventes,1,2016-02-01
69,Supervisor de Jardinagem,1,2016-02-01
70,Supervisor de Marcenaria,1,2016-02-01
71,Supervisor de Mensageiria,2,2016-02-01
72,Supervisor de Vigilância,6,2016-02-01
73,Supervisão Geral de Vigilância,1,2016-02-01
74,Telefonista,8,2016-02-01
75,Técnico de Elevador Residente,1,2016-02-01
76,Técnico em Detecção e Alarme de Incêndio,1,2016-02-01
77,Técnico em Edificações,1,2016-02-01
78,Técnico em Eletrotécnica,1,2016-02-01
79,Técnico em Eletrônica I,5,2016-02-01
80,Técnico em Eletrônica II,1,2016-02-01
81,Técnico em Manutenção,1,2016-02-01
82,Técnico em Máquinas,1,2016-02-01
83,Técnico em Rede Estruturada,6,2016-02-01
84,Técnico em Refrigeração,1,2016-02-01
85,Técnico em Secretariado,101,2016-02-01
86,Técnico em Secretariado I,20,2016-02-01
87,Técnico em Secretariado II,29,2016-02-01
88,Vigilante/Vigilância,180,2016-02-01
89,Webdesigner,2,2016-02-01
90,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2016-02-01
0,Agente de Segurança Pessoal Privada,142,2016-03-01
1,Agente de Segurança Pessoal Privada Supervisor de Serviços,8,2016-03-01
2,Ajudante de Bombeiro Hidráulico,4,2016-03-01
3,Ajudante de Eletricista,13,2016-03-01
4,Almoxarife,1,2016-03-01
5,Alvenaria,5,2016-03-01
6,Ascensorista,38,2016-03-01
7,Assistente de Fotografia,2,2016-03-01
8,Auxiliar Administrativo,4,2016-03-01
9,Auxiliar Técnico,5,2016-03-01
10,Auxiliar de Almoxarifado,25,2016-03-01
11,Auxiliar de Alvenaria,7,2016-03-01
12,Auxiliar de Biblioteca,16,2016-03-01
13,Auxiliar de Educação Infantil,24,2016-03-01
14,Auxiliar de Higienização e Acondicionamento de Acervos,8,2016-03-01
15,Auxiliar de Marcenaria,4,2016-03-01
16,Auxiliar de Mecânico de Refrigeração,4,2016-03-01
17,Auxiliar de Supervisão de Marcenaria,1,2016-03-01
18,Bombeiro Civil Líder,1,2016-03-01
19,Bombeiro Civil Noturno 12X36,12,2016-03-01
20,Bombeiro Hidráulico,8,2016-03-01
21,Bomberiro Civil Diurno 12X36,29,2016-03-01
22,Borracheiro,1,2016-03-01
23,Copeira,54,2016-03-01
24,Copeiro,2,2016-03-01
25,Cozinheira,4,2016-03-01
26,Desenhista em CAD,1,2016-03-01
27,Designer Gráfico Júnior,2,2016-03-01
28,Designer Gráfico Pleno,4,2016-03-01
29,Designer Gráfico Sênior,1,2016-03-01
30,Digitalizador,138,2016-03-01
31,Eletricista,17,2016-03-01
32,Eletricista Plantonista Diurno,2,2016-03-01
33,Eletricista Plantonista Noturno,2,2016-03-01
34,Eletricista de Autos,2,2016-03-01
35,Encarregado de Elétrica,2,2016-03-01
36,Encarregado de Hidráulica,1,2016-03-01
37,Encarregado de Mecânica de Refrigeração,1,2016-03-01
38,Enfermeira Auditora,2,2016-03-01
39,Engenheiro Eletricista,2,2016-03-01
40,Engenheiro Mecânico,2,2016-03-01
41,Engenheiro Senior,1,2016-03-01
42,Engenheiro de Sistemas,1,2016-03-01
43,Garçom,30,2016-03-01
44,Garçonete,6,2016-03-01
45,Gesseiro,1,2016-03-01
46,Instrumentador Técnico,1,2016-03-01
47,Jardineiro,10,2016-03-01
48,Jauzeiro,9,2016-03-01
49,Lavador,16,2016-03-01
50,Lustrador,2,2016-03-01
51,Manutenção e Suporte Técnico,7,2016-03-01
52,Marceneiro,8,2016-03-01
53,Mecânico Leve,2,2016-03-01
54,Mecânico Pesado,2,2016-03-01
55,Mecânico de Refrigeração,6,2016-03-01
56,Mensageiro,40,2016-03-01
57,Mensageiro de Gabinete,68,2016-03-01
58,Motorista,66,2016-03-01
59,Médico Auditor,5,2016-03-01
60,Operador da Central de Detecção,2,2016-03-01
61,Operador da Central de Supervisão Predial,2,2016-03-01
62,Operador da Central de Água Gelada,4,2016-03-01
63,Operador de Micro,1,2016-03-01
64,Operador de Áudio e Vídeo,2,2016-03-01
65,Pedagoga,1,2016-03-01
66,Pintor,4,2016-03-01
67,Preparador de Documentos,30,2016-03-01
68,Recepcionista,82,2016-03-01
69,Revisor de Textos,4,2016-03-01
70,Servente,198,2016-03-01
71,Supervisor,29,2016-03-01
72,Supervisor Geral de Serventes,1,2016-03-01
73,Supervisor de Jardinagem,1,2016-03-01
74,Supervisor de Marcenaria,1,2016-03-01
75,Supervisor de Mensageiria,2,2016-03-01
76,Supervisor de Vigilância,6,2016-03-01
77,Supervisão Geral de Vigilância,1,2016-03-01
78,Telefonista,8,2016-03-01
79,Técnico de Elevador Residente,1,2016-03-01
80,Técnico em Design,2,2016-03-01
81,Técnico em Detecção e Alarme de Incêndio,1,2016-03-01
82,Técnico em Edificações,1,2016-03-01
83,Técnico em Eletrotécnica,1,2016-03-01
84,Técnico em Eletrônica I,5,2016-03-01
85,Técnico em Eletrônica II,1,2016-03-01
86,Técnico em Manutenção,1,2016-03-01
87,Técnico em Máquinas,1,2016-03-01
88,Técnico em Rede Estruturada,6,2016-03-01
89,Técnico em Refrigeração,1,2016-03-01
90,Técnico em Secretariado,105,2016-03-01
91,Técnico em Secretariado I,20,2016-03-01
92,Técnico em Secretariado II,27,2016-03-01
93,Vigilante/Vigilância,180,2016-03-01
94,Webdesigner,3,2016-03-01
95,"repórter fotográfico - realiza registro fotográfico de todos os eventos, ministros, etc",3,2016-03-01
0,Agente de Segurança Pessoal Privada,142,2016-04-01
1,Agente de Segurança Pessoal Privada Supervisor de Serviços,8,2016-04-01
2,Ajudante de Bombeiro Hidráulico,4,2016-04-01
3,Ajudante de Eletricista,13,2016-04-01
4,Almoxarife,1,2016-04-01
5,Alvenaria,5,2016-04-01
6,Ascensorista,38,2016-04-01
7,Assistente de Fotografia,2,2016-04-01
8,Auxiliar Administrativo,4,2016-04-01
9,Auxiliar Técnico,5,2016-04-01
10,Auxiliar de Almoxarifado,25,2016-04-01
11,Auxiliar de Alvenaria,8,2016-04-01
12,Auxiliar de Biblioteca,16,2016-04-01
13,Auxiliar de Educação Infantil,24,2016-04-01
14,Auxiliar de Higienização e Acondicionamento de Acervos,8,2016-04-01
15,Auxiliar de Marcenaria,4,2016-04-01
16,Auxiliar de Mecânico de Refrigeração,4,2016-04-01
17,Auxiliar de Supervisão de Marcenaria,1,2016-04-01
18,Bombeiro Civil Líder,1,2016-04-01
